ID,Name,State,PROJECTs_List,Description
1494,Work1,On,"['project_one', 'project_one', 'project_one', 'project_one', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_one', 'project_one', 'project_one', 'project_three', 'project_five', 'project_one', 'project_one', 'project_three', 'project_five', 'project_one', 'project_one', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five', 'project_one', 'project_three', 'project_five']", 1all projects that relate to Work at Intel go here
1497,Work1,On,[], 1all projects that relate to Work at Intel go here
1501,Work1,On,[], 1all projects that relate to Work at Intel go here
1506,Work1,On,[], 1all projects that relate to Work at Intel go here
1510,Work1,On,[], 1all projects that relate to Work at Intel go here # 001
1515,Work1,On,[], 1all projects that relate to Work at Intel go here # 001
1519,Work2,On,"['project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four', 'project_two', 'project_four']", 2all projects that relate to Work at Intel go here
1530,Work1,On,[], 1all projects that relate to Work at Intel go here # 001
1534,Work2,On,[], 2all projects that relate to Work at Intel go here
1545,Work1,On,[], 1all projects that relate to Work at Intel go here # 001
1549,Work2,On,[], 2all projects that relate to Work at Intel go here
1565,Work11,On,"['project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1', 'project_one1', 'project_three1', 'project_five1']", 11all projects that relate to Work at Intel go here
1567,Work21,On,"['project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1', 'project_two1', 'project_four1']", 21all projects that relate to Work at Intel go here
1585,Work1,On,[], 1all projects that relate to Work at Intel go here 
1589,Work2,On,[], 2all projects that relate to Work at Intel go here 
1605,Work11,On,[], 11all projects that relate to Work at Intel go here 
1607,Work21,On,[], 21all projects that relate to Work at Intel go here 
1625,Work1,On,[], 1all projects that relate to Work at Intel go here #0001
1629,Work2,On,[], 2all projects that relate to Work at Intel go here #0008
1645,Work11,On,[], 11all projects that relate to Work at Intel go here #0026
1647,Work21,On,[], 21all projects that relate to Work at Intel go here #0028
1665,Work1,On,[], 1all projects that relate to Work at Intel go here #0001
